country,top_inventor,patent_count
AD,Bruno DeLean,18
AD,Johnny De Viveiros Ortiz,9
AD,Edward J. Tieleman,6
AE,Cevat Yerli,102
AE,Jaidev Rajnikant Shroff,70
AE,Vikram Rajnikant Shroff,65
AF,Cheok-Kei Lei,20
AF,Tomas Mecklin,12
AF,Richard W. Ward,6
AG,Walter Ruffner,13
AG,Ronald Raymond Austríng,7
AG,Fremont Lawrence,1
AI,Terry Earl Brady,17
AI,Melinda K. M. Goddard,11
AI,Sverre Dokken,6
AL,Taulant Ramabaja,8
AL,Valter Pasku,4
AL,Betim Drenica,2
AM,Avetik Markosyan,162
AM,Ashot Nshan Harutyunyan,46
AM,Arnak Poghosyan,45
AO,Jose Arellano,10
AO,Chidi Eugene Nwafor,3
AO,Elmer B. Santos,2
AR,"Jose A. Navia, Sr.",103
AR,Mario Rafael Hueda,83
AR,Jeronimo Irazabal,57
AT,Josef Theurer,393
AT,Joe Sung-Ho Tan,356
AT,Sung-Ho Tan,281
AU,Kia Silverbrook,4778
AU,Paul Lapstun,1300
AU,Simon Robert Walmsley,651
AZ,Edouard Mamedov,10
AZ,Elmira M. Ramazanova,6
AZ,Alimamed L. Shabanov,5
BA,Adnan Hadzialic,8
BA,Izudin Dzafic,7
BA,Demir Selmanovic,3
BB,Carl Wimmer,17
BB,John Gordon Murphy,14
BB,Michal Andrzej Rybak,9
BD,Tusher Chakraborty,18
BD,Faisal Khan,14
BD,Tausif Husain,11
BE,Atsushi Nakamura,524
BE,Clarence Filsfils,276
BE,Mark Thomas Johnson,248
BF,Liang ZONG,4
BF,Mihajlo Marjanovic,2
BF,Odile Germaine Nacoulma,2
BG,Ventsislav Yantchev,121
BG,David A. Smith,48
BG,Boris E. Paton,45
BH,Raheel Shafi,27
BH,Manimeldura Janaka Mendis,15
BH,Faisal Baksh,5
BI,Maksim Vladislavovich Voevodskii,1
BJ,Achidi Valentin Agon,1
BJ,Codjo Atchiriki,1
BM,David Aubrey Plumptre,199
BM,Matthew Meredith Jones,77
BM,Daniel Paul Jenkins,59
BN,"David Robert Davies, III",30
BN,Quentin Morgan,8
BN,Pierre Christian Marie Carrette,6
BO,Franz Freudenthal,20
BO,Veli-Pekka Koljonen,6
BO,Alfredo P. Vargas,4
BR,Dietmar Erich Bernhard Lilie,85
BR,Vinicius Michel Gottin,79
BR,Takashi Inukai,68
BS,Vittorio de Nora,124
BS,Phillip J. Vasyli,31
BS,George Goicoechea,21
BT,David H. Birtwistle,12
BT,Rolf Nordqvist,1
BW,Adamu Murtala Zungeru,1
BW,Ernest Gomolemo Modise,1
BW,Pharoah Mosupi,1
BY,Pavel Hanchar,28
BY,Stepan Drozd,23
BY,Vladimir N. Linev,23
BZ,Italo Romani de Oliveira,4
BZ,Douglas Spadotto,2
BZ,Peter Gegg,2
CA,Jianglei Ma,731
CA,Wayne Ernest Conrad,713
CA,Paul Marinier,625
CD,Koichi Hirata,36
CD,Elias Suokas,7
CD,"by Sergei V. Kovtun, administrator",2
CF,Norbert Varga,1
CF,Silla Semballa,1
CF,Eva Lindberg,1
CG,Damien Sha-Tshibey Tshibangu,1
CG,Mathe Eliel Kasereka,1
CG,Pius Tshimankinda Mpiana,1
CH,Cornelis van der Lely,342
CH,Matthew Sharifi,311
CH,Evangelos S. Eleftheriou,224
CI,Csaba Antal,13
CI,Erika Duparc,10
CI,Laurent Aké Assi,3
CK,Donald E. Dorrell,1
CL,Fernando Benjamin Fischmann,49
CL,Rudolf O. Ernst,38
CL,Yukio Horiuchi,27
CM,Yutaka Yoshida,190
CM,Hiroshi Hamada,185
CM,Masakazu Suzuki,158
CN,Kai Zhang,1428
CN,Shou-Shan Fan,1314
CN,Lei Zhang,965
CO,Luis Antonio Ruiz,22
CO,Carlos A. Hakim,17
CO,Jorge Uribe,17
CR,Cesar Augusto Rodriguez Bravo,126
CR,Edgar A. Zamora Duran,65
CR,Claude Hope,39
CU,Gerardo Enrique Guillen Nieto,20
CU,Rolando Perez Rodriguez,16
CU,Osvaldo Reyes Acosta,12
CV,Celso Lopes Rodrigues,1
CY,Michalakis Averkiou,33
CY,Lilia Friedman,32
CY,Dimitris Koulakiotis,31
CZ,Josef Valchar,87
CZ,Filip Nguyen,82
CZ,Jan Petrzilek,77
DE,Hans-Joachim Schulze,620
DE,Toni Weinschenk,608
DE,Thomas Wiegand,578
DJ,Moussa Mahdi Ahmed,1
DK,Mogens Nyegaard Olesen,701
DK,Allan Svendsen,211
DK,Michael Syskind PEDERSEN,201
DM,Michal Kazimir,3
DM,Trenton Hinds,3
DM,Ashton J. Delauney,2
DO,Hisham E. Elshishiny,19
DO,Jesús R. Armenteros,12
DO,Luis Enrique Betances Sansur,7
DZ,Günter Steinert,11
DZ,Mohammed Boudjatit,10
DZ,Samuel J. Paton,6
EC,Alexandr I. Fadeev,8
EC,Clarisse Ullrich,8
EC,Vladimir I. Batjukov,8
EE,Ahti Heinla,41
EE,Renat Vafin,34
EE,Ilshat Garipov,29
EG,Antar Ahmed Abdelhamid Ahmed,242
EG,Amer A. Amer,179
EG,Antar Ahmed Abdelhamid Ahmed,46
ER,Franco Tommasini,3
ER,Temesghen Tekeste Habte,3
ER,Catherine Gallou,1
ES,Francesc Guim Bernat,273
ES,Peter Morovic,143
ES,Miguel Lopez,142
ET,Kirubel Z. Seifu,14
ET,Girum Teklemariam,3
ET,Dereje Teferi Lemma,1
FI,Peng Zhang,366
FI,Esa Tapani Tiirola,350
FI,Miska Hannuksela,272
FJ,Raveen Goundar,1
FJ,Risaburo Takahashi,1
FM,"Berysin Salomon, Jr.",1
FM,Krisztián Niesz,1
FO,Courtney Hede,5
FO,Hans Carlsson,5
FO,Bergur Vinther,2
FR,Jean-Philippe Vasseur,753
FR,Nadim Khlat,512
FR,Peter Forsell,451
GA,Venkata Satya Srikalyan Bhamidipati,5
GA,Claude Cazal,1
GA,Dany Jonas Mubamu Mombo,1
GB,Gert Jan Van Lieshout,653
GB,Christopher Brian Locke,561
GB,Ian J. Forster,436
GD,Spencer Holover,1
GD,Fereshteh Abbasi,1
GE,Avto Tavkhelidze,31
GE,Ramaz Katsarava,16
GE,Matthias Fertig,10
GG,Alan Chauvin,1
GG,Charles Peter Hedley Sheldrake,1
GG,Geoffrey Hector James Munro,1
GH,Yoshihisa Suzuki,85
GH,Manabu Yoshida,38
GH,Yoshiteru Hattori,34
GI,Martin Paul Moshal,30
GI,Robert James Mark Hain,12
GI,Gavin Charles O'Reilly,8
GL,Steen Lynge,4
GL,Biljana Ilievska,3
GL,Bjarni Gudmundsson,1
GM,Tom Blanchard,3
GM,Alaghi Sissokho,1
GM,Jayne Suzanne Sutherland,1
GN,Aliou Mamadou Balde,2
GN,Kamrooz Khademazad,1
GN,Attaoulaye Diallo,1
GR,Apostolis Salkintzis,151
GR,Ioannis Bozikis,73
GR,Marina Bulgari,62
GT,Carlton B. Brown,15
GT,Armando Araujo,11
GT,Joseph Christian Rossell,9
GW,Wolfgang Scheyer,12
GW,Kurt Ellensohn,6
GW,Arnold Federer,3
GY,Olivier Sorg,6
GY,Billy Summer,3
GY,Dawn I. Fox,2
HN,Edwin A. Hernandez-Mondragon,13
HN,Juan Fernando Aguilar Morán,7
HN,Marco Tulio Medina-Hernandez,5
HR,Thomas Leiber,62
HR,Slobodan Vukicevic,20
HR,Milan Mesic,19
HT,Julius Tomar,5
HT,Sacha Thebaud,5
HT,Alexander von Lignau,2
HU,Laszlo Szporny,150
HU,János Farkas,107
HU,Neil Sondhi,94
ID,Tomoaki Ikeda,76
ID,Takeshi Yasui,46
ID,Ali Mukti,40
IE,Liam Harpur,414
IE,Patrick J. O'Sullivan,388
IE,Peter Corcoran,338
IL,Assaf Govari,657
IL,Michael Tsirkin,650
IL,Assaf Natanzon,533
IM,Robert William Stimpson,37
IM,Mark Shuttleworth,12
IM,Ian Felmeri,11
IN,Sarbajit K. Rakshit,1504
IN,Srinivas Yerramalli,557
IN,Shelesh Chopra,403
IQ,Seth-Olov Thorberg,37
IQ,Ahmed A. Al-Karmalawy,13
IQ,Minoru Oshio,12
IR,Ali S. Sadri,103
IR,Motonobu Kubo,51
IR,Tomoji Kawai,41
IS,Arinbjörn Viggo Clausen,81
IS,Sverrir Olafsson,66
IS,Bjorn Omarsson,53
IT,Pasquale Natuzzi,443
IT,Ferdinando Bedeschi,216
IT,Fiorenzo Draghetti,213
JE,James Roberts,80
JE,Lawrence D. Woolf,26
JE,David K. Fox,24
JM,Howard Chin,27
JM,Chester R. Willis,15
JM,Paul Campbell,13
JO,Mohammed Sammour,124
JO,Masaki Fujikane,34
JO,Abdulla M. Bataineh,29
JP,Shunpei Yamazaki,6787
JP,Jun Koyama,1543
JP,Takashi Suzuki,1340
KE,Komminist Weldemariam,155
KE,Mitchell Medina,30
KE,Kamal Bhattacharya,25
KG,Timofei Nakonechnyi,9
KG,Albert I. Elatontsev,5
KG,Boris S. Dolzhenkov,5
KH,Fumimasa Azuma,4
KH,Su Io Lam,4
KH,Nimol Khim,3
KN,Gary A. Rogers,17
KN,Vance Roy Pencheon,5
KN,Chase Revel,3
KP,Dai Nakajima,40
KP,Kyong Min Shin,33
KP,Il-young Yoon,19
KR,Hanbyul Seo,1823
KR,Yunjung Yi,1419
KR,Suckchel Yang,1310
KW,Bader Shafaqa Al-Anzi,20
KW,Sabah Naser Al-Sabah,18
KW,Abdulreidha Abdulrasoul Alsaffar,16
KY,Jens Ole Sorensen,113
KY,Soren Christian Sorensen,60
KY,Chih-Wei Hsiung,33
KZ,Huseyin Atakan Varol,16
KZ,Oleg Tischenko,14
KZ,Sergazy M. Adekenov,11
LA,Toshiaki Yamanaka,67
LA,Naiqi Wu,15
LA,Shizuo Shimizu,14
LB,Samer Salam,92
LB,Nizar Youssef Mehio,30
LB,Badawi Yamine,22
